"","RiskDiff","Lower","Upper","P-Val","SE Est"
"weight",-0.0204078413849705,-0.0230482436009634,-0.0177674391689777,7.69654736125803e-52,0.00134714398775145
"apgar5",0.16997191129165,0.139615063679468,0.200328758903831,5.08015924053969e-28,0.0154881875572356
"ga_at_delivery_by_ga_anc1",-0.0295759801435183,-0.0428039174215754,-0.0163480428654611,1.17427590675702e-05,0.00674894759084548
"ga_at_delivery_by_fh_anc1",-0.0391346771574505,-0.058239025412023,-0.0200303289028781,5.94456762369807e-05,0.00974711645641449
"ga_at_deliv_lmp",-0.0313583001838613,-0.0497644931086188,-0.0129521072591038,0.000840149717698068,0.00939091475752934
"ga_at_delivery_by_edd_anc1",-0.0327861099880663,-0.0545458066149534,-0.0110264133611792,0.00314496281558286,0.0111018860341261
"ga_anc1_recorded",0.0128354998203874,0.000499799189313057,0.0251712004514618,0.0414088954359994,0.00629372481177264
"m_age_anc1",0.00982762224314165,-0.00198625440046201,0.0216414988867453,0.103002770124019,0.00602748808347125
"m_stature",0.090532900347092,-0.0191760387975191,0.200241839491703,0.105795926036162,0.0559749770965085
"enough_food",0.040093917158319,-0.0181184635723155,0.0983062978889534,0.177038467857369,0.0297007400083911
"ga_at_anc1_by_lmp",-0.0096431175365358,-0.0267254784041269,0.00743924333105532,0.268538576591157,0.0087154902385669
"ga_anc1_by_edd",-0.0105959929112523,-0.029753716445016,0.00856173062251134,0.278337633572283,0.00977434874171616
"apgar1",0.0115867617441677,-0.0133442087700492,0.0365177322583847,0.36233893543155,0.0127198829154168
"ever_no_food",0.0190862844166761,-0.0331277408536895,0.0713003096870418,0.473717175987785,0.0266402983331445
"alc",0.0226994916961985,-0.0409123589473411,0.0863113423397382,0.484301519645462,0.0324556222182152
"m_wt",-0.00380311919138281,-0.0148222391899213,0.00721600080715564,0.498741739194658,0.00562199999925431
"hh_smoker",0.0676555125283498,-0.135135696988816,0.270446722045516,0.513185142781471,0.103466804041685
"run_out_food",0.00994180546168693,-0.0347346125102804,0.0546182234336542,0.662728536322936,0.0227945096564882
"grav",-0.0034643490140752,-0.0205232922078365,0.0135945941796861,0.690601464857919,0.00870354244579659
"length_b",0.0028087444818942,-0.0188069486315507,0.0244244375953391,0.798968318496233,0.0110284148537984
"parity",0.00198239337226132,-0.0148025499163139,0.0187673366608365,0.816936722379857,0.00856374657580369
"sex",-0.00409879480558668,-0.0515267009376676,0.0433291113264942,0.865495242185175,0.024198355942347
"not_enough_food",-0.00387006053937898,-0.0498269734290425,0.0420868523502845,0.86890478489,0.0234478353950204
"head_cir",0.00165336985083165,-0.0179920555355206,0.0212987952371839,0.868979651437466,0.0100231762175267
"fun_ht_anc1",0.000842800760127063,-0.0147477066295609,0.016433308149815,0.915618194385606,0.00795434050494283
"fuel",0.00368742883821254,-0.0977410109908713,0.105115868667296,0.943195246480242,0.0517501549156711
